GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA,AHFS CLASS
abacavir,Ziagen,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
abacavir+dolutegravir+lamivudine,Triumeq,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
abacavir+lamivudine,Kivexa,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
abacavir+lamivudine+zidovudine,Trizivir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
abatacept,Orencia,Restricted to pediatric inpatients with polyarticular Juvenile Idiopathic Arthritis (JIA) who have had inadequate response to one or more Disease Modifying Antirheumatic Drugs (DMARDs),DISEASE MODIFYING ANTIRHEUMATIC AGENTS
abiraterone,Zytiga,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
acitretin,Soriatane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,SKIN AND MUCOUS MEMBRANE AGENTS
adefovir,Hepsera,Restricted to indications outlined by BCTS,NUCLEOSIDE & NUCLEOTIDE ANTIVIRALS
afatinib,Giotrif,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
aldesleukin,Proleukin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
alemtuzumab,Mabcampath,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
amifostine,Ethyol,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTIDOTES
aminolevulinic acid,Levulan Kerastick,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,SKIN AND MUCOUS MEMBRANE AGENTS
amphotericin B liposomal,"Abelcet, AmBisome",Restricted to patients with intolerance or contraindications to amphotericin B,POLYENE ANTIFUNGALS
amsacrine,AMSA P-D,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
anagrelide,Agrylin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,PLATELET REDUCING AGENTS
anakinra,Kineret,Restricted to pediatric inpatients with systemic onset juvenile idiopathic arthritis (SOJIA) and prominent systemic symptoms OR pediatric inpatients with auto-inflammatory disease / periodic fever syndromes,MISCELLANEOUS THERAPEUTIC AGENTS
anastrozole,Arimidex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
antithymocyte globulin (equine),Atgam,Restricted to treatment of aplastic anemia OR pediatric bone marrow transplant (BMT) OR pediatric stem cell transplant (SCT) patients,MISCELLANEOUS THERAPEUTIC AGENTS
antithymocyte globulin (rabbit),Thymoglobulin,Restricted to bone marrow transplant (BMT) OR solid organ transplant (SOT) OR stem cell transplant OR aplastic anemia with treatment failure or intolerance to antithymocyte globulin equine,SERUMS
apixaban,Eliquis,"Restricted to at risk patients with non?valvular atrial fibrillation, for the prevention of stroke and systemic embolism AND in whom anticoagulation is inadequate following at least a 2 month trial  of warfarin OR for whom anticoagulation using warfarin is contraindicated or not possible due to inability to regularly monitor the patient via International Normalized Ratio (INR) testing in the community (i.e. no access to INR testing services at a laboratory, clinic, pharmacy and at home) OR for the treatment of venous thromboembolic events (VTE) (deep vein thrombosis[DVT] and pulmonary embolism [PE]) and prevention of recurrent DVT and PE, for a duration of up to six months",ANTICOAGULANTS
aprepitant,Emend,"Restricted to patients receiving highly emetogenic chemotherapy as per protocols from BCCA, BCCH, or Leukemia/BMT unit","ANTIEMETICS, MISCELLANEOUS"
argatroban,Argatroban,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT),ANTICOAGULANTS
aripiprazole,Abilify,Restricted to patient specific diagnosis identified as schizophrenia or other psychosis (not dementia related) PLUS treatment failure or intolerance to another anti-psychotic agent,ANTIPSYCHOTIC AGENTS
arsenic trioxide,Trisenox,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
asenapine,Saphris,"Restricted to patients with bipolar I disorder either as monotherapy, in patients who have failed or are intolerant to lithium or divalproex sodium, and have experienced treatment failure or intolerance to at least one other atypical antipsychotic agent OR as co?therapy with lithium or
divalproex sodium, after treatment failure or intolerance to at least one other atypical antipsychotic agent",ANTIPSYCHOTIC AGENTS
asparaginase,"Erwinia, Kidrolase",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
atazanavir,Reyataz,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
